Date;VIX
30/11/2018;25.85
03/12/2018;22.07
04/12/2018;30.66
05/12/2018;#N/A
06/12/2018;29.76
07/12/2018;30.86
10/12/2018;30.74
11/12/2018;30.39
12/12/2018;27.81
13/12/2018;29.22
14/12/2018;30.04
17/12/2018;33.69
18/12/2018;31.67
19/12/2018;34.86
20/12/2018;35.18
21/12/2018;41.43
24/12/2018;42.67
25/12/2018;#N/A
26/12/2018;50.03
27/12/2018;36.76
28/12/2018;38.42
31/12/2018;34.92
01/01/2019;#N/A
02/01/2019;33.91
03/01/2019;35.77
04/01/2019;34.86
07/01/2019;32.53
08/01/2019;32.62
09/01/2019;32.04
10/01/2019;30.72
11/01/2019;31.85
14/01/2019;35.23
15/01/2019;31.36
16/01/2019;32.65
17/01/2019;38.55
18/01/2019;30.9
21/01/2019;#N/A
22/01/2019;37.44
23/01/2019;24.27
24/01/2019;22.57
25/01/2019;20.79
28/01/2019;21.29
29/01/2019;21.73
30/01/2019;19.93
31/01/2019;19.35
01/02/2019;18.69
04/02/2019;18.41
05/02/2019;17.71
06/02/2019;17.65
07/02/2019;19.85
08/02/2019;19.63
11/02/2019;19.1
12/02/2019;17.91
13/02/2019;17.21
14/02/2019;18.82
15/02/2019;19.22
18/02/2019;#N/A
19/02/2019;18.8
20/02/2019;18.76
21/02/2019;19.69
22/02/2019;18.96
25/02/2019;19.91
26/02/2019;19.86
27/02/2019;20.57
28/02/2019;20.81
01/03/2019;20.99
04/03/2019;22.6
05/03/2019;23.11
06/03/2019;23.47
07/03/2019;23.92
08/03/2019;25.78
11/03/2019;26.12
12/03/2019;26.28
13/03/2019;25.64
14/03/2019;25.53
15/03/2019;25.44
18/03/2019;25.9
19/03/2019;27.59
20/03/2019;26.09
21/03/2019;27.16
22/03/2019;30.04
25/03/2019;30.28
26/03/2019;29.58
27/03/2019;31.08
28/03/2019;29.46
29/03/2019;28.7
01/04/2019;28.92
02/04/2019;28.78
03/04/2019;28.54
