Market;Company;Ticker
JSE;Resilient REIT Ltd.;RES.JO
JSE;Resource Generation Ltd.;RSG.JO
JSE;Reunert Ltd.;RLO.JO
JSE;Rex Trueform Group Ltd.;RTO.JO
JSE;RFG Holdings Ltd.;RFG.JO
JSE;RH Bophelo Ltd.;RHB.JO
JSE;RMB Holdings Ltd.;RMH.JO
JSE;Rand Merchant Investment Holdings Ltd.;RMI.JO
JSE;Royal Bafokeng Platinum Ltd.;RBP.JO
JSE;SA Corporate Real Estate Ltd.;SAC.JO
JSE;Safari Investments RSA Ltd.;SAR.JO
JSE;Sanlam Ltd.;SLM.JO
JSE;Santam Ltd.;SNT.JO
JSE;Santova Ltd.;SNV.JO
JSE;Sappi Ltd.;SAP.JO
JSE;Sasfin Holdings Ltd.;SFN.JO
JSE;Sasol Ltd.;SOLBE1.JO
JSE;Sasol Ltd.;SOL.JO
JSE;Exchange Traded Funds;STX40.JO
JSE;Sea Harvest Group Ltd.;SHG.JO
JSE;Sebata Holdings Ltd.;SEB.JO
JSE;Sephaku Holdings Ltd.;SEP.JO
JSE;Schroder European Real Estate Investment Trust Plc;SCD.JO
JSE;Shoprite Holdings Ltd.;SHP.JO
JSE;Sibanye Stillwater Ltd.;SSW.JO
JSE;SilverBridge Holdings Ltd.;SVB.JO
JSE;Sirius Real Estate Ltd.;SRE.JO
JSE;South32 Ltd.;S32.JO
JSE;South Ocean Holdings Ltd.;SOH.JO
JSE;Spanjaard Ltd.;SPA.JO
JSE;The SPAR Group Ltd.;SPP.JO
JSE;Spear REIT Ltd.;SEA.JO
JSE;Spur Corporation Ltd.;SUR.JO
JSE;Stadio Holdings Ltd.;SDO.JO
JSE;Standard Bank Group Ltd.;SBPP.JO
JSE;Standard Bank Group Ltd.;SBKP.JO
JSE;Standard Bank Group Ltd.;SBK.JO
JSE;Stefanutti Stocks Holdings Ltd.;SSK.JO
JSE;Steinhoff Investment Holdings Ltd.;SHFF.JO
JSE;Steinhoff International Holdings N.V.;SNH.JO
JSE;Stellar Capital Partners Ltd.;SCP.JO
JSE;Stenprop Ltd.;STP.JO
JSE;Stor-Age Property REIT Ltd.;SSS.JO
JSE;Sun International Ltd.;SUI.JO
JSE;Super Group Ltd.;SPG.JO
JSE;Exchange Traded Funds;SYGWD.JO
JSE;Sygnia Ltd.;SYG.JO
JSE;TeleMasters Holdings Ltd.;TLM.JO
JSE;Telkom SA SOC Ltd.;TKG.JO
JSE;Textainer Group Holdings Ltd.;TXT.JO
JSE;Texton Property Fund Ltd.;TEX.JO
JSE;Tharisa plc;THA.JO
JSE;The Foschini Group Ltd.;TFGP.JO
JSE;The Foschini Group Ltd.;TFG.JO
JSE;Tiger Brands Ltd.;TBS.JO
JSE;Tongaat Hulett Ltd.;TON.JO
JSE;Total Client Services Ltd.;TCS.JO
JSE;Tower Property Fund Ltd.;TWR.JO
JSE;Tradehold Ltd.;TDH.JO
JSE;Transaction Capital Ltd.;TCP.JO
JSE;Transcend Residential Property Fund Ltd.;TPF.JO
JSE;Transpaco Ltd.;TPC.JO
JSE;Trellidor Holdings Ltd.;TRL.JO
JSE;Trematon Capital Investments Ltd.;TMT.JO
JSE;Trencor Ltd.;TRE.JO
JSE;Trustco Group Holdings Ltd.;TTO.JO
JSE;Truworths International Ltd.;TRU.JO
JSE;Tsogo Sun Gaming Ltd.;TSG.JO
JSE;Tsogo Sun Hotels Ltd.;TGO.JO
JSE;Union Atlantic Minerals Ltd.;UAT.JO
JSE;Universal Partners Ltd.;UPL.JO
