Market;Company;Ticker;Current_price;DateAssetN;AssetN;DateAssetN-1;AssetN-1;DateAssetN-2;AssetN-2;DateAssetN-3;AssetN-3;DateAssetN-4;AssetN-4;DatecashflowN;CashflowN;DatecashflowN1;CashflowN1;DatecashflowN2;CashflowN2;DatecashflowN3;CashflowN3;DatecashflowN4;CashflowN4;Pricetobook;Pricetoearning;EarningtopriceVolume;Earningtoprice;Volume
JSE;Sanlam Ltd.;SLM.JO;6095;2021-12-31;1056178000000;2020-12-31;943796000000;2019-12-31;900229000000;2018-12-31;815576000000;2017-12-31;733583000000;2021-12-31;5515000000;2020-12-31;2372000000;2019-12-31;14753000000;2018-12-31;17604000000;2017-12-31;12474000000;193.94151;4445.660102115245;;0.00022493847415914684;7906563.0
JSE;Santam Ltd.;SNT.JO;25079;2021-12-31;65558000000;2020-12-31;56180000000;2019-12-31;49234000000;2018-12-31;45098000000;2017-12-31;39259000000;2021-12-31;1884000000;2020-12-31;1127000000;2019-12-31;2897000000;2018-12-31;1136000000;2017-12-31;1241000000;295.70807;5128.629856850716;;0.00019498385103074284;213391.0
JSE;South Ocean Holdings Ltd.;SOH.JO;108;2021-12-31;755458000;2020-12-31;694348000;2019-12-31;705802000;2018-12-31;858861000;2017-12-31;884894000;2021-12-31;126312000;2020-12-31;-14954000;2019-12-31;-30879000;2018-12-31;7869000;2017-12-31;120939000;44.06365;812.0300751879698;;0.0012314814814814816;3000.0
JSE;Sibanye Stillwater Ltd.;SSW.JO;5322;2021-12-31;152994000000;2020-12-31;134103100000;2019-12-31;101071800000;2018-12-31;84923000000;2017-12-31;76071800000;2021-12-31;50432000000;2020-12-31;28847700000;2019-12-31;9549000000;2018-12-31;12197800000;2017-12-31;3301100000;227.20287;504.4549763033175;;0.001982337467117625;12557951.0
JSE;Sun International Ltd.;SUI.JO;2910;2021-12-31;13157000000;2020-12-31;13369000000;2019-12-31;23624000000;2018-12-31;24296000000;2017-12-31;24436000000;2021-12-31;1709000000;2020-12-31;340000000;2019-12-31;3852000000;2018-12-31;3682000000;2017-12-31;2951000000;423.21118;-278.38897924040947;;-0.0035920962199312715;251817.0
JSE;Transcend Residential Property Fund Ltd.;TPF.JO;455;2021-12-31;2522526000;2020-12-31;2612812000;2019-12-31;2848500000;2018-12-31;2866715000;2017-12-31;1269883000;2021-12-31;55374000;2020-12-31;61757000;2019-12-31;82182000;2018-12-31;60816000;2017-12-31;52234000;51.958435;-1413.0434782608695;;-0.0007076923076923077;17173.0
JSE;Trencor Ltd.;TRE.JO;418;2021-12-31;1215000000;2020-12-31;1153000000;2019-12-31;2333000000;2018-12-31;8405000000;2017-12-31;52313000000;2021-12-31;-23000000;2020-12-31;-253000000;2019-12-31;372000000;2018-12-31;-77000000;2017-12-31;1794000000;63.574146;-1900.0;;-0.0005263157894736842;170097.0
JSE;Textainer Group Holdings Ltd.;TXT.JO;54500;2021-12-31;7367444000;2020-12-31;5741376000;2019-12-31;5202617000;2018-12-31;4768769000;2017-12-31;4380342000;2021-12-31;611783000;2020-12-31;396255000;2019-12-31;428545000;2018-12-31;316119000;2017-12-31;317821000;2057.7686;1430.7466134621443;;0.0006989357798165137;8001.0
JSE;Vivo Energy plc;VVO.JO;2125;2021-12-31;3701000000;2020-12-31;3268000000;2019-12-31;3356000000;2018-12-31;2827000000;2017-12-31;2628814000;2021-12-31;471000000;2020-12-31;263000000;2019-12-31;445000000;2018-12-31;251000000;2017-12-31;248263000;3512.3965;2456.6473988439307;;0.0004070588235294118;11919.0
JSE;Wesizwe Platinum Ltd.;WEZ.JO;180;2021-12-31;16655702000;2020-12-31;13711280000;2019-12-31;12473198000;2018-12-31;9619897000;2017-12-31;7979577000;2021-12-31;-9429000;2020-12-31;-420726000;2019-12-31;-148184000;2018-12-31;-31729000;2017-12-31;54824000;94.98681;5625.0;;0.00017777777777777779;1999056.0
